"Type","Entries","Year","Value"
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1975",1158
"SOSIAL/SOCIAL","Kesihatan/Health","1975",361
"SOSIAL/SOCIAL","Perumahan/Housing","1975",0
"SOSIAL/SOCIAL","Lain-lain/Others","1975",218
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1975",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1975",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1975",479
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1975",1104
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1976",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1976",170
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1976",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1976",74
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1976",53
"EKONOMI/ECONOMIC","Perhubungan/Communications","1976",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1976",40
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1976",1261
"SOSIAL/SOCIAL","Kesihatan/Health","1976",387
"SOSIAL/SOCIAL","Perumahan/Housing","1976",0
"SOSIAL/SOCIAL","Lain-lain/Others","1976",245
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1976",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1976",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1976",538
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1976",1541
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1977",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1977",180
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1977",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1977",48
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1977",146
"EKONOMI/ECONOMIC","Perhubungan/Communications","1977",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1977",55
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1977",1750
"SOSIAL/SOCIAL","Kesihatan/Health","1977",532
"SOSIAL/SOCIAL","Perumahan/Housing","1977",0
"SOSIAL/SOCIAL","Lain-lain/Others","1977",248
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1977",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1977",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1977",743
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1977",1879
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1978",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1978",249
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1978",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1978",64
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1978",94
"EKONOMI/ECONOMIC","Perhubungan/Communications","1978",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1978",54
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1978",1791
"SOSIAL/SOCIAL","Kesihatan/Health","1978",563
"SOSIAL/SOCIAL","Perumahan/Housing","1978",0
"SOSIAL/SOCIAL","Lain-lain/Others","1978",335
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1978",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1978",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1978",588
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1978",1962
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1979",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1979",180
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1979",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1979",116
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1979",81
"EKONOMI/ECONOMIC","Perhubungan/Communications","1979",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1979",48
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1979",1918
"SOSIAL/SOCIAL","Kesihatan/Health","1979",607
"SOSIAL/SOCIAL","Perumahan/Housing","1979",0
"SOSIAL/SOCIAL","Lain-lain/Others","1979",327
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1979",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1979",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1979",717
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1979",2062
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1980",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1980",393
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1980",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1980",151
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1980",81
"EKONOMI/ECONOMIC","Perhubungan/Communications","1980",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1980",100
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1980",2228
"SOSIAL/SOCIAL","Kesihatan/Health","1980",697
"SOSIAL/SOCIAL","Perumahan/Housing","1980",0
"SOSIAL/SOCIAL","Lain-lain/Others","1980",358
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1980",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1980",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1980",1164
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1980",2953
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1981",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1981",523
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1981",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1981",362
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1981",116
"EKONOMI/ECONOMIC","Perhubungan/Communications","1981",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1981",90
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1981",2726
"SOSIAL/SOCIAL","Kesihatan/Health","1981",855
"SOSIAL/SOCIAL","Perumahan/Housing","1981",0
"SOSIAL/SOCIAL","Lain-lain/Others","1981",506
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1981",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1981",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1981",1445
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1981",4209
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1982",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1982",763
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1982",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1982",658
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1982",297
"EKONOMI/ECONOMIC","Perhubungan/Communications","1982",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1982",71
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1982",2991
"SOSIAL/SOCIAL","Kesihatan/Health","1982",916
"SOSIAL/SOCIAL","Perumahan/Housing","1982",0
"SOSIAL/SOCIAL","Lain-lain/Others","1982",591
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1982",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1982",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1982",697
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1982",5862
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1983",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1983",838
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1983",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1983",222
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1983",279
"EKONOMI/ECONOMIC","Perhubungan/Communications","1983",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1983",83
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1983",2915
"SOSIAL/SOCIAL","Kesihatan/Health","1983",836
"SOSIAL/SOCIAL","Perumahan/Housing","1983",0
"SOSIAL/SOCIAL","Lain-lain/Others","1983",565
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1983",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1983",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1983",1513
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1983",5883
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1984",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1984",771
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1984",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1984",378
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1984",335
"EKONOMI/ECONOMIC","Perhubungan/Communications","1984",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1984",112
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1984",3183
"SOSIAL/SOCIAL","Kesihatan/Health","1984",931
"SOSIAL/SOCIAL","Perumahan/Housing","1984",0
"SOSIAL/SOCIAL","Lain-lain/Others","1984",664
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1984",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1984",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1984",1638
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1984",6169
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1985",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1985",1013
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1985",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1985",307
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1985",236
"EKONOMI/ECONOMIC","Perhubungan/Communications","1985",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1985",110
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1985",3473
"SOSIAL/SOCIAL","Kesihatan/Health","1985",1007
"SOSIAL/SOCIAL","Perumahan/Housing","1985",0
"SOSIAL/SOCIAL","Lain-lain/Others","1985",514
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1985",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1985",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1985",2036
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1985",6791
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1986",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1986",897
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1986",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1986",335
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1986",276
"EKONOMI/ECONOMIC","Perhubungan/Communications","1986",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1986",70
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1986",3743
"SOSIAL/SOCIAL","Kesihatan/Health","1986",1098
"SOSIAL/SOCIAL","Perumahan/Housing","1986",0
"SOSIAL/SOCIAL","Lain-lain/Others","1986",561
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1986",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1986",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1986",2416
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1986",7266
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1987",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1987",878
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1987",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1987",312
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1987",252
"EKONOMI/ECONOMIC","Perhubungan/Communications","1987",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1987",68
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1987",3839
"SOSIAL/SOCIAL","Kesihatan/Health","1987",1073
"SOSIAL/SOCIAL","Perumahan/Housing","1987",0
"SOSIAL/SOCIAL","Lain-lain/Others","1987",536
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1987",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1987",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1987",2186
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1987",7800
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1988",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1988",877
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1988",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1988",449
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1988",281
"EKONOMI/ECONOMIC","Perhubungan/Communications","1988",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1988",78
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1988",4115
"SOSIAL/SOCIAL","Kesihatan/Health","1988",1139
"SOSIAL/SOCIAL","Perumahan/Housing","1988",0
"SOSIAL/SOCIAL","Lain-lain/Others","1988",599
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1988",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1988",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1988",2179
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1988",8154
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1989",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1989",912
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1989",38
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1989",442
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1989",557
"EKONOMI/ECONOMIC","Perhubungan/Communications","1989",16
"EKONOMI/ECONOMIC","Lain-lain/Others","1989",19
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1989",4407
"SOSIAL/SOCIAL","Kesihatan/Health","1989",1236
"SOSIAL/SOCIAL","Perumahan/Housing","1989",66
"SOSIAL/SOCIAL","Lain-lain/Others","1989",720
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1989",2147
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1989",1393
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1989",2876
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1989",8153
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1990",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1990",1044
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1990",42
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1990",594
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1990",591
"EKONOMI/ECONOMIC","Perhubungan/Communications","1990",18
"EKONOMI/ECONOMIC","Lain-lain/Others","1990",4
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1990",4962
"SOSIAL/SOCIAL","Kesihatan/Health","1990",1316
"SOSIAL/SOCIAL","Perumahan/Housing","1990",62
"SOSIAL/SOCIAL","Lain-lain/Others","1990",956
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1990",2305
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1990",1502
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1990",2308
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1990",9322
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1991",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1991",1219
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1991",49
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1991",476
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1991",708
"EKONOMI/ECONOMIC","Perhubungan/Communications","1991",19
"EKONOMI/ECONOMIC","Lain-lain/Others","1991",9
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1991",5782
"SOSIAL/SOCIAL","Kesihatan/Health","1991",1463
"SOSIAL/SOCIAL","Perumahan/Housing","1991",61
"SOSIAL/SOCIAL","Lain-lain/Others","1991",695
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1991",2457
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1991",1613
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1991",3005
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1991",10740
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1992",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1992",1291
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1992",26
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1992",536
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1992",1595
"EKONOMI/ECONOMIC","Perhubungan/Communications","1992",22
"EKONOMI/ECONOMIC","Lain-lain/Others","1992",28
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1992",6854
"SOSIAL/SOCIAL","Kesihatan/Health","1992",1812
"SOSIAL/SOCIAL","Perumahan/Housing","1992",81
"SOSIAL/SOCIAL","Lain-lain/Others","1992",861
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1992",2871
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1992",1925
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1992",3528
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1992",10645
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1993",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1993",1166
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1993",36
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1993",496
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1993",759
"EKONOMI/ECONOMIC","Perhubungan/Communications","1993",22
"EKONOMI/ECONOMIC","Lain-lain/Others","1993",33
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1993",7361
"SOSIAL/SOCIAL","Kesihatan/Health","1993",1982
"SOSIAL/SOCIAL","Perumahan/Housing","1993",52
"SOSIAL/SOCIAL","Lain-lain/Others","1993",986
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1993",3222
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1993",1908
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1993",3766
