"Type","Entries","Year","Value"
"SOSIAL/SOCIAL","Lain-lain/Others","1980",252
"KESELAMATAN/SECURITY","Pertahanan/Defence","1980",812
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1980",410
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1980",240
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1981",1481
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1981",748
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1981",3091
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1981",1272
"EKONOMI/ECONOMIC","Perhubungan/Communications","1981",202
"EKONOMI/ECONOMIC","Lain-lain/Others","1981",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1981",791
"SOSIAL/SOCIAL","Kesihatan/Health","1981",118
"SOSIAL/SOCIAL","Perumahan/Housing","1981",1231
"SOSIAL/SOCIAL","Lain-lain/Others","1981",316
"KESELAMATAN/SECURITY","Pertahanan/Defence","1981",1381
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1981",458
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1981",269
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1982",1550
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1982",865
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1982",1143
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1982",1970
"EKONOMI/ECONOMIC","Perhubungan/Communications","1982",439
"EKONOMI/ECONOMIC","Lain-lain/Others","1982",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1982",1082
"SOSIAL/SOCIAL","Kesihatan/Health","1982",150
"SOSIAL/SOCIAL","Perumahan/Housing","1982",1589
"SOSIAL/SOCIAL","Lain-lain/Others","1982",428
"KESELAMATAN/SECURITY","Pertahanan/Defence","1982",1646
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1982",419
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1982",204
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1983",1187
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1983",1027
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1983",1291
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1983",1652
"EKONOMI/ECONOMIC","Perhubungan/Communications","1983",622
"EKONOMI/ECONOMIC","Lain-lain/Others","1983",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1983",988
"SOSIAL/SOCIAL","Kesihatan/Health","1983",156
"SOSIAL/SOCIAL","Perumahan/Housing","1983",556
"SOSIAL/SOCIAL","Lain-lain/Others","1983",297
"KESELAMATAN/SECURITY","Pertahanan/Defence","1983",1391
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1983",335
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1983",168
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1984",1122
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1984",1132
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1984",685
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1984",1193
"EKONOMI/ECONOMIC","Perhubungan/Communications","1984",929
"EKONOMI/ECONOMIC","Lain-lain/Others","1984",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1984",1009
"SOSIAL/SOCIAL","Kesihatan/Health","1984",125
"SOSIAL/SOCIAL","Perumahan/Housing","1984",908
"SOSIAL/SOCIAL","Lain-lain/Others","1984",181
"KESELAMATAN/SECURITY","Pertahanan/Defence","1984",872
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1984",133
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1984",118
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1985",1287
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1985",789
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1985",557
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1985",1052
"EKONOMI/ECONOMIC","Perhubungan/Communications","1985",618
"EKONOMI/ECONOMIC","Lain-lain/Others","1985",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1985",872
"SOSIAL/SOCIAL","Kesihatan/Health","1985",112
"SOSIAL/SOCIAL","Perumahan/Housing","1985",972
"SOSIAL/SOCIAL","Lain-lain/Others","1985",137
"KESELAMATAN/SECURITY","Pertahanan/Defence","1985",480
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1985",149
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1985",117
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1986",1144
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1986",683
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1986",523
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1986",1408
"EKONOMI/ECONOMIC","Perhubungan/Communications","1986",780
"EKONOMI/ECONOMIC","Lain-lain/Others","1986",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1986",1064
"SOSIAL/SOCIAL","Kesihatan/Health","1986",118
"SOSIAL/SOCIAL","Perumahan/Housing","1986",1054
"SOSIAL/SOCIAL","Lain-lain/Others","1986",298
"KESELAMATAN/SECURITY","Pertahanan/Defence","1986",218
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1986",166
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1986",103
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1987",924
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1987",648
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1987",622
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1987",1046
"EKONOMI/ECONOMIC","Perhubungan/Communications","1987",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1987",15
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1987",810
"SOSIAL/SOCIAL","Kesihatan/Health","1987",53
"SOSIAL/SOCIAL","Perumahan/Housing","1987",79
"SOSIAL/SOCIAL","Lain-lain/Others","1987",89
"KESELAMATAN/SECURITY","Pertahanan/Defence","1987",124
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1987",209
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1987",122
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1988",1010
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1988",656
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1988",834
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1988",1065
"EKONOMI/ECONOMIC","Perhubungan/Communications","1988",4
"EKONOMI/ECONOMIC","Lain-lain/Others","1988",16
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1988",865
"SOSIAL/SOCIAL","Kesihatan/Health","1988",69
"SOSIAL/SOCIAL","Perumahan/Housing","1988",58
"SOSIAL/SOCIAL","Lain-lain/Others","1988",173
"KESELAMATAN/SECURITY","Pertahanan/Defence","1988",195
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1988",165
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1988",121
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1989",1140
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1989",468
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1989",948
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1989",1545
"EKONOMI/ECONOMIC","Perhubungan/Communications","1989",2
"EKONOMI/ECONOMIC","Lain-lain/Others","1989",16
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1989",1242
"SOSIAL/SOCIAL","Kesihatan/Health","1989",218
"SOSIAL/SOCIAL","Perumahan/Housing","1989",182
"SOSIAL/SOCIAL","Lain-lain/Others","1989",305
"KESELAMATAN/SECURITY","Pertahanan/Defence","1989",614
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1989",232
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1989",784
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1990",1298
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1990",798
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1990",2726
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1990",1845
"EKONOMI/ECONOMIC","Perhubungan/Communications","1990",2
"EKONOMI/ECONOMIC","Lain-lain/Others","1990",32
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1990",1634
"SOSIAL/SOCIAL","Kesihatan/Health","1990",461
"SOSIAL/SOCIAL","Perumahan/Housing","1990",43
"SOSIAL/SOCIAL","Lain-lain/Others","1990",479
"KESELAMATAN/SECURITY","Pertahanan/Defence","1990",738
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1990",323
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1990",310
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1991",1126
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1991",681
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1991",969
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1991",1897
"EKONOMI/ECONOMIC","Perhubungan/Communications","1991",1
"EKONOMI/ECONOMIC","Lain-lain/Others","1991",10
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1991",1285
"SOSIAL/SOCIAL","Kesihatan/Health","1991",572
"SOSIAL/SOCIAL","Perumahan/Housing","1991",66
"SOSIAL/SOCIAL","Lain-lain/Others","1991",503
"KESELAMATAN/SECURITY","Pertahanan/Defence","1991",1866
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1991",345
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1991",244
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1992",1098
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1992",834
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1992",648
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1992",1896
"EKONOMI/ECONOMIC","Perhubungan/Communications","1992",4
"EKONOMI/ECONOMIC","Lain-lain/Others","1992",24
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1992",1205
"SOSIAL/SOCIAL","Kesihatan/Health","1992",602
"SOSIAL/SOCIAL","Perumahan/Housing","1992",94
"SOSIAL/SOCIAL","Lain-lain/Others","1992",752
"KESELAMATAN/SECURITY","Pertahanan/Defence","1992",1629
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1992",544
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1992",358
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1993",1276
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1993",610
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1993",660
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1993",2678
"EKONOMI/ECONOMIC","Perhubungan/Communications","1993",5
"EKONOMI/ECONOMIC","Lain-lain/Others","1993",36
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1993",1117
"SOSIAL/SOCIAL","Kesihatan/Health","1993",425
"SOSIAL/SOCIAL","Perumahan/Housing","1993",167
"SOSIAL/SOCIAL","Lain-lain/Others","1993",511
"KESELAMATAN/SECURITY","Pertahanan/Defence","1993",1729
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1993",529
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1993",381
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1994",1342
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1994",790
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1994",961
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1994",2158
"EKONOMI/ECONOMIC","Perhubungan/Communications","1994",5
"EKONOMI/ECONOMIC","Lain-lain/Others","1994",33
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1994",2010
"SOSIAL/SOCIAL","Kesihatan/Health","1994",354
"SOSIAL/SOCIAL","Perumahan/Housing","1994",359
"SOSIAL/SOCIAL","Lain-lain/Others","1994",562
"KESELAMATAN/SECURITY","Pertahanan/Defence","1994",2166
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1994",194
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1994",343
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1995",1360
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1995",654
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1995",1218
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1995",3151
"EKONOMI/ECONOMIC","Perhubungan/Communications","1995",14
"EKONOMI/ECONOMIC","Lain-lain/Others","1995",43
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1995",2044
"SOSIAL/SOCIAL","Kesihatan/Health","1995",388
"SOSIAL/SOCIAL","Perumahan/Housing","1995",403
"SOSIAL/SOCIAL","Lain-lain/Others","1995",678
"KESELAMATAN/SECURITY","Pertahanan/Defence","1995",2474
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1995",414
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1995",1210
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1996",1182
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1996",733
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1996",1212
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1996",4530
"EKONOMI/ECONOMIC","Perhubungan/Communications","1996",2
"EKONOMI/ECONOMIC","Lain-lain/Others","1996",34
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1996",2091
"SOSIAL/SOCIAL","Kesihatan/Health","1996",459
"SOSIAL/SOCIAL","Perumahan/Housing","1996",501
"SOSIAL/SOCIAL","Lain-lain/Others","1996",933
"KESELAMATAN/SECURITY","Pertahanan/Defence","1996",2061
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1996",377
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1996",513
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1997",1105
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1997",1496
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1997",1285
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1997",3578
"EKONOMI/ECONOMIC","Perhubungan/Communications","1997",4
"EKONOMI/ECONOMIC","Lain-lain/Others","1997",33
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1997",2521
"SOSIAL/SOCIAL","Kesihatan/Health","1997",449
"SOSIAL/SOCIAL","Perumahan/Housing","1997",735
"SOSIAL/SOCIAL","Lain-lain/Others","1997",1214
"KESELAMATAN/SECURITY","Pertahanan/Defence","1997",1814
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1997",500
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1997",1015
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1998",960
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1998",1968
